gu_code,price,trade_type,build_year,year,month,day,dong,apt_name,area,floor,jibun
11620,"90,000",,1993,2021,10,14,신림동,신림현대,82.2,12,1694
11620,"92,500",,2004,2021,10,30,봉천동,관악푸르지오,59.58,17,1717
11620,"29,500",,1999,2021,10,31,봉천동,동아타운,28.8,12,1629-2
11620,"59,800",,1993,2021,10,28,신림동,신림현대,34.86,9,1694
11620,"51,800",,1978,2021,10,22,신림동,신안,55.21,5,10-10
11620,"98,000",,2004,2021,10,30,봉천동,벽산블루밍3차,83.87,10,1720
11620,"85,000",,1996,2021,10,27,봉천동,보라매삼성,84.78,2,1698-1
11620,"13,800",,2012,2021,10,6,신림동,보라매해담채,13.23,3,497-5
11620,"26,500",,2021,2021,10,23,신림동,위드비엠3,22.8,6,538-39
11620,"65,300",,2003,2021,10,20,신림동,그대家,59.6,4,1727
11620,"100,300",,2011,2021,10,19,남현동,하이파크,84.22,7,1079-3
11620,"67,500",,1993,2021,10,20,신림동,국제산장,84.15,7,1693
11620,"78,000",,2000,2021,10,26,봉천동,봉천우성,59.76,3,1706
11620,"131,000",,2005,2021,10,8,봉천동,벽산블루밍,114.97,14,1718
11620,"139,000",,2019,2021,10,21,봉천동,e편한세상서울대입구1단지,84.93,3,1730
11620,"96,000",,1993,2021,10,13,신림동,신림현대,82.2,4,1694
11620,"97,000",,2004,2021,10,23,봉천동,관악동부센트레빌,59.75,5,1719
11620,"134,800",,2000,2021,10,29,봉천동,두산,114.99,13,1708
11620,"114,000",,2003,2021,10,16,봉천동,관악드림(동아),84.96,8,1712
11620,"112,500",,2004,2021,10,30,봉천동,관악푸르지오,84.2,4,1717
11620,"74,900",,2003,2021,10,25,봉천동,벽산타운II,79.28,1,1716
11620,"60,000",,2012,2021,10,31,신림동,삼성,68.59,5,1474-6
11620,"140,000",,2019,2021,10,17,봉천동,e편한세상서울대입구2단지,84.97,11,1730-1
11620,"16,000",,2012,2021,10,25,신림동,보라매해담채,13.23,7,497-5
11620,"106,500",,2004,2021,10,15,봉천동,관악푸르지오,84.2,17,1717
11620,"63,000",,1992,2021,10,15,신림동,한양,84.79,1,1563-82
11620,"67,000",,2004,2021,10,11,신림동,청화,84.58,1,1729
11620,"91,000",,1992,2021,10,21,봉천동,현대(관악),68.8,12,1000
11620,"122,500",,2003,2021,10,16,봉천동,관악드림(동아),114.75,5,1712
11620,"54,000",,2007,2021,10,23,봉천동,미소가,100.067,2,39-13
11620,"103,000",,2005,2021,10,9,신림동,신림푸르지오,84.79,15,1730
11620,"26,000",,2021,2021,10,16,신림동,위드비엠3,22.8,7,538-39
11620,"117,000",,2019,2021,10,21,봉천동,e편한세상서울대입구2단지,59.96,6,1730-1
11620,"73,000",,2000,2021,10,20,신림동,삼성산주공(주공3단지),83.21,23,1714
11620,"92,500",,2004,2021,10,23,봉천동,관악푸르지오,59.58,3,1717
11620,"92,600",,2011,2021,10,13,남현동,하이파크,84.3,1,1079-3
11620,"80,500",,1998,2021,10,22,봉천동,낙성대현대(296),59.78,6,296
11620,"81,500",,2015,2021,10,16,봉천동,서희스타힐스,59.92,8,1729
11620,"45,500",,2021,2021,10,12,신림동,위드비엠3,37.1,7,538-39
11620,"110,000",,2002,2021,10,9,봉천동,낙성대현대홈타운,84.923,7,1713
11620,"160,000",,1997,2021,10,24,봉천동,보라매롯데캐슬,170.11,15,729-22
11620,"63,000",,2000,2021,10,22,신림동,삼성산주공(주공3단지),58.55,19,1714
11620,"90,000",,1993,2021,10,24,신림동,신림현대,82.2,12,1694
11620,"70,000",,1996,2021,10,6,신림동,LIG대학마을(건영아파트3차),58.9,9,1703-1
11620,"52,000",,2001,2021,10,11,봉천동,삼정,83.09,3,180-261
11620,"78,500",,1993,2021,10,4,신림동,신림현대,59.85,7,1694
11620,"97,000",,2009,2021,10,23,봉천동,관악유앤아이,84.866,10,1727
11620,"77,500",,2000,2021,10,7,봉천동,봉천동아,59.76,2,1703
11620,"103,000",,2005,2021,10,12,봉천동,벽산블루밍,84.99,5,1718
11620,"47,500",,2021,2021,10,18,신림동,위드비엠3,37.83,12,538-39
11620,"14,000",,2013,2021,10,29,신림동,프라비다트라움,14.06,10,1433-55
11620,"47,000",,2021,2021,10,13,신림동,위드비엠3,38.71,13,538-39
11620,"45,500",,2021,2021,10,12,신림동,위드비엠3,37.1,6,538-39
11620,"73,500",,2020,2021,10,19,신림동,앰팰리스아파트,73.133,2,1743
11620,"54,700",,2001,2021,10,2,봉천동,삼정,80.28,7,180-261
11620,"86,500",,2011,2021,10,1,남현동,하이파크,75.03,6,1079-3
11620,"72,000",,2000,2021,10,22,신림동,삼성산주공(주공3단지),83.21,8,1714
11620,"140,000",,2005,2021,10,3,신림동,신림푸르지오,138.74,16,1730
11620,"55,000",,2004,2021,10,5,봉천동,보람하이빌,84.63,5,100-519
11620,"109,500",,2010,2021,10,4,봉천동,관악위버폴리스,104.913,13,859-17
11620,"17,600",,2013,2021,10,11,봉천동,프라비다2,19.85,9,867-12
11620,"13,300",,2013,2021,10,5,봉천동,프라비다2,15.64,5,867-12
11620,"17,000",,2012,2021,10,11,봉천동,서울대역마에스트로,19.46,19,869-6
11620,"59,900",,2021,2021,10,3,신림동,신림스카이아파트,56.45,10,1744
11620,"87,200",,2005,2021,10,2,봉천동,벽산블루밍,59.99,11,1718
11620,"70,700",,2008,2021,10,21,신림동,관악산휴먼시아2단지,59.96,9,1735
11620,"52,000",,1994,2021,10,1,신림동,신동아,84.3,1,산28-9
11620,"65,000",,2000,2021,10,20,신림동,삼성산주공(주공3단지),58.55,19,1714
11620,"49,000",,1978,2021,10,16,신림동,신안,55.21,3,10-10
11620,"86,000",,2008,2021,10,16,신림동,관악산휴먼시아2단지,84.97,12,1735
11620,"131,000",,2005,2021,10,8,봉천동,벽산블루밍,114.97,14,1718
11620,"65,000",,1997,2021,10,6,신림동,건영4,84.89,16,1702-1
11620,"38,000",,2021,2021,10,10,신림동,위드비엠3,33.02,6,538-39
11620,"71,800",,2008,2021,10,9,신림동,관악산휴먼시아1단지,59.96,17,1735-1
11620,"93,000",,2005,2021,10,2,신림동,신림푸르지오,84.79,1,1730
11620,"72,000",,1997,2021,10,4,신림동,금호(1차),84.96,11,1705
11620,"65,000",,1998,2021,10,4,신림동,금호2,59.96,1,1706
11620,"50,800",,1999,2021,10,15,신림동,초원,59.93,8,1712
11620,"146,000",,2005,2021,10,9,신림동,신림푸르지오,138.74,17,1730
11620,"88,500",,2003,2021,10,12,남현동,흥화브라운빌,84.95,2,1132
11620,"50,000",,1997,2021,10,9,신림동,태영,49.92,18,1424-28
11620,"124,500",,2003,2021,10,17,봉천동,관악드림(삼성),114.75,10,1712
11620,"97,000",,2004,2021,10,4,봉천동,벽산블루밍3차,83.87,15,1720
11620,"81,000",,1992,2021,10,4,봉천동,현대(관악),68.8,6,1000
11620,"18,600",,2013,2021,10,8,봉천동,프라비다2,20.45,5,867-12
11620,"38,000",,2021,2021,10,3,신림동,위드비엠3,33.02,7,538-39
11620,"80,000",,2000,2021,10,7,신림동,청광,84.8,8,1716
11620,"13,450",,2012,2021,10,8,봉천동,마에스트로캠퍼스타운,14.49,11,893-12
11620,"13,000",,2013,2021,10,14,신림동,프라비다트라움,14.06,4,1433-55
11620,"18,000",,2018,2021,10,9,봉천동,서울대입구한양아이클래스,16.58,16,1568-1
11620,"70,000",,2015,2021,10,2,봉천동,서희스타힐스,52.6,5,1729
11620,"59,900",,2021,2021,10,4,신림동,신림스카이아파트,56.46,10,1744
11620,"59,900",,2021,2021,10,2,신림동,신림스카이아파트,55.34,4,1744
11620,"59,900",,2021,2021,10,4,신림동,신림스카이아파트,55.34,2,1744
11620,"14,000",,2012,2021,10,14,봉천동,코스모블루,14.25,9,863-9
11620,"64,000",,2007,2021,10,12,봉천동,생모리츠타운,84.36,7,1574-1
11620,"85,000",,2000,2021,10,8,신림동,삼성산주공(주공3단지),113.31,7,1714
11620,"85,000",,2003,2021,10,11,남현동,흥화브라운빌,59.88,5,1132
11620,"64,000",,1993,2021,10,12,신림동,국제산장,84.15,12,1693
11620,"109,500",,2000,2021,10,1,봉천동,봉천우성,84.96,18,1706
11620,"30,000",,1971,2021,10,6,봉천동,복권,47.61,1,645-87
11620,"84,500",,1997,2021,10,7,신림동,건영4,84.71,10,1702-1
11620,"84,000",,2005,2021,10,2,봉천동,벽산블루밍,59.99,17,1718
11620,"78,000",,1992,2021,10,1,봉천동,현대(관악),58.59,1,1000
11620,"88,000",,2000,2021,10,2,신림동,삼성산주공(주공3단지),113.31,20,1714
11620,"48,000",,2021,2021,10,1,신림동,위드비엠3,38.81,6,538-39
11620,"26,500",,2021,2021,10,5,신림동,위드비엠3,22.8,8,538-39
11620,"11,500",,2012,2021,10,4,봉천동,코스모블루,13.09,8,863-9
