gu_code,price,trade_type,build_year,year,month,day,dong,apt_name,area,floor,jibun
11620,"97,500",중개거래,2000,2023,1,12,봉천동,두산,114.99,14,1708
11620,"70,000",직거래,2020,2023,1,24,신림동,앰팰리스아파트,72.687,3,1743
11620,"67,200",중개거래,2000,2023,1,30,봉천동,두산,59.89,3,1708
11620,"100,000",중개거래,2019,2023,1,20,봉천동,e편한세상서울대입구2단지,84.97,11,1730-1
11620,"49,000",중개거래,2010,2023,1,19,봉천동,금강아미움(106동),71.3453,1,1522-31
11620,"12,250",중개거래,2010,2023,1,31,신림동,아데나,18,6,534-1
11620,"14,500",중개거래,1998,2023,1,26,봉천동,관악캠퍼스타워,24.96,17,875-1
11620,"73,000",중개거래,2000,2023,1,26,봉천동,두산,59.92,19,1708
11620,"64,000",중개거래,2000,2023,1,25,신림동,삼성산주공(주공3단지),83.21,22,1714
11620,"64,800",중개거래,2003,2023,1,14,봉천동,관악드림(동아),60,7,1712
11620,"62,000",직거래,2008,2023,1,26,신림동,관악산휴먼시아2단지,114.7,11,1735
11620,"55,800",중개거래,2004,2023,1,30,남현동,풍산캐슬,91.26,2,1053-5
11620,"88,000",중개거래,2007,2023,1,25,남현동,예성그랑펠리체,83.45,11,1138
11620,"105,000",중개거래,2003,2023,1,25,봉천동,관악드림(동아),114.75,22,1712
11620,"17,000",중개거래,2013,2023,1,10,봉천동,프라비다2,19.61,6,867-12
11620,"97,500",중개거래,2000,2023,1,12,봉천동,두산,114.99,14,1708
11620,"31,100",중개거래,2014,2023,1,28,봉천동,프라비다M,30.12,19,893-1
11620,"12,950",중개거래,2012,2023,1,7,봉천동,마에스트로캠퍼스타운,13.15,7,893-12
11620,"15,000",중개거래,1998,2023,1,14,봉천동,관악캠퍼스타워,24.96,14,875-1
11620,"79,000",중개거래,1992,2023,1,12,봉천동,현대(관악),84.74,5,1000
11620,"59,800",중개거래,2008,2023,1,6,신림동,관악산휴먼시아2단지,59.99,5,1735
11620,"72,000",중개거래,2008,2023,1,11,신림동,관악산휴먼시아2단지,84.97,12,1735
11620,"65,000",중개거래,2000,2023,1,6,봉천동,두산,59.92,4,1708
11620,"64,500",중개거래,2008,2023,1,20,신림동,관악산휴먼시아2단지,84.97,15,1735
11620,"80,000",중개거래,2003,2023,1,11,봉천동,관악드림(동아),84.96,10,1712
11620,"69,000",중개거래,2004,2023,1,17,남현동,예성2차그린캐슬,84.17,2,1134
11620,"95,000",중개거래,2004,2023,1,2,봉천동,관악동부센트레빌,84.7,19,1719
11620,"12,850",중개거래,2014,2023,1,13,신림동,푸리마타운,12.95,10,1639-51
11620,"80,000",중개거래,2000,2023,1,7,봉천동,봉천동아,84.87,12,1703
11620,"50,000",중개거래,1992,2023,1,11,신림동,한양,84.79,13,1563-82
11620,"12,600",중개거래,2010,2023,1,9,신림동,아데나,18,4,534-1
11620,"17,000",중개거래,2018,2023,1,7,봉천동,서울대입구한양아이클래스,15.96,10,1568-1
