gu_code,monthly_rent,deposit,build_year,year,month,day,dong,apt_name,area,floor,jibun,contract_type,contract_term,prev_deposit,prev_monthly_rent
11470,0,"46,000",1986,2024,4,18,목동,목동신시가지6,47.94,17,911,,,,
11470,0,"75,000",2016,2024,4,27,신정동,목동힐스테이트,59.95,13,1323,,,,
11470,0,"66,000",1992,2024,4,22,목동,우성,84.44,1,200,,,,
11470,0,"38,000",1999,2024,4,23,신정동,신트리1,49.95,5,1259,,,,
11470,0,"39,000",2005,2024,4,5,신월동,삼정그린뷰,84.14,14,1041,,,,
11470,120,"30,000",2019,2024,4,30,목동,목동롯데캐슬마에스트로,59.984,2,965,,,,
11470,45,"20,000",1999,2024,4,18,신정동,신트리1,59.73,5,1259,,,,
11470,220,"10,000",1986,2024,4,21,목동,목동신시가지7,66.6,4,925,,,,
11470,0,"41,000",1987,2024,4,27,신정동,목동신시가지8,54.94,7,314,,,,
11470,0,"72,000",1997,2024,4,1,목동,목동현대1,59.9,16,932,,,,
11470,0,"51,000",2020,2024,4,20,신월동,목동센트럴아이파크위브2단지,59.68,22,1076,,,,
11470,0,"89,000",1997,2024,4,24,목동,목동청구한신아파트,84.77,5,929,,,,
11470,0,"120,000",1986,2024,4,6,목동,목동신시가지7,101.2,5,925,,,,
11470,0,"55,000",1986,2024,4,26,목동,목동신시가지3,64.98,4,903,,,,
11470,0,"32,000",1988,2024,4,20,신정동,목동신시가지11,51.48,6,325,,,,
11470,30,"1,000",1987,2024,4,25,신정동,수정,48.87,5,733-31,,,,
11470,180,"5,000",1988,2024,4,4,신정동,목동신시가지12,71.64,13,326,,,,
11470,0,"19,000",1988,2024,4,29,신월동,신월시영,43.2,10,987-1,,,,
11470,0,"49,000",2020,2024,4,27,신월동,목동센트럴아이파크위브2단지,59.88,12,1076,,,,
11470,28,"33,000",2000,2024,4,27,신정동,목동우성2,84.96,15,337,,,,
11470,0,"36,300",1987,2024,4,20,신정동,목동신시가지8,54.94,17,314,,,,
11470,0,"55,000",2020,2024,4,17,신월동,목동센트럴아이파크위브3단지,78.87,4,1077,,,,
11470,0,"64,000",1999,2024,4,26,목동,진도2,59.46,11,936,,,,
11470,0,"45,000",2020,2024,4,27,신월동,목동센트럴아이파크위브3단지,52.85,13,1077,,,,
11470,190,"50,000",2003,2024,4,26,목동,월드메르디앙3,84.95,2,947,,,,
11470,140,"30,000",1986,2024,4,20,목동,목동신시가지7,66.6,9,925,,,,
11470,100,"8,000",1986,2024,4,18,목동,목동신시가지4,48.69,1,904,,,,
11470,0,"15,000",1988,2024,4,19,신월동,우정,62.24,3,350-3,,,,
11470,0,"50,000",2020,2024,4,19,신월동,목동센트럴아이파크위브2단지,59.68,1,1076,,,,
11470,120,"120,000",2006,2024,4,12,목동,하이페리온2,119.523,29,961,,,,
11470,0,"29,000",2000,2024,4,11,신정동,학마을1단지,49.98,13,1293,,,,
11470,0,"50,000",2000,2024,4,8,신정동,목동우성2,84.96,12,337,,,,
11470,0,"35,000",1985,2024,4,10,신월동,신안약수,84.56,4,591-1,,,,
11470,0,"52,000",2020,2024,4,5,신월동,목동센트럴아이파크위브1단지,59.68,4,1075,,,,
11470,0,"40,000",1987,2024,4,6,신정동,목동신시가지8,54.94,7,314,,,,
11470,0,"30,765",1988,2024,4,6,신정동,목동신시가지11,51.48,2,325,,,,
11470,0,"46,500",2014,2024,4,6,신월동,롯데캐슬,59.747,6,1063,,,,
11470,0,"50,000",2002,2024,4,6,목동,목동금호베스트빌,84.25,12,549,,,,
11470,0,"24,000",1988,2024,4,5,신월동,신월시영,50.67,8,987-1,,,,
11470,0,"52,000",2020,2024,4,4,신월동,목동센트럴아이파크위브1단지,59.97,11,1075,,,,
11470,50,"37,000",1987,2024,4,3,신정동,목동신시가지14,74.19,10,329,,,,
11470,0,"32,000",2000,2024,4,6,신정동,신정6현대,59.4,8,743-2,,,,
11470,44,"55,000",1998,2024,4,6,목동,진도1,84.96,1,935,,,,
11470,0,"14,189",1988,2024,4,4,신월동,신월시영,43.2,12,987-1,,,,
11470,150,"10,000",2000,2024,4,29,목동,성원2,84.73,7,709-2,신규,24.05~26.05,,
11470,40,"60,000",2005,2024,4,12,목동,롯데캐슬위너,84.98,7,956,갱신,24.04~26.04,"60,000",50
11470,0,"37,000",2000,2024,4,8,신정동,신트리4,59.73,13,1277,갱신,24.04~26.04,"45,000",
11470,45,"53,500",1986,2024,4,9,목동,목동신시가지7,66.6,15,925,갱신,26.05~28.05,"50,500",45
11470,0,"33,600",2011,2024,4,3,신정동,이펜하우스1단지,84.86,11,1321,신규,24.04~26.06,,
11470,0,"65,800",2016,2024,4,9,신정동,목동힐스테이트,59.95,14,1323,갱신,24.06~26.10,"65,800",
11470,8,"1,634",2000,2024,4,25,신정동,목동2차우성(1단지),32.76,7,337-2,신규,24.05~26.04,,
11470,0,"26,460",1999,2024,4,10,신정동,신트리1,49.8,8,1259,갱신,24.05~26.05,"25,200",
11470,0,"49,000",2020,2024,4,27,신월동,목동센트럴아이파크위브2단지,59.88,12,1076,갱신,24.06~25.06,"34,650",
11470,0,"21,331",2011,2024,4,25,신정동,이펜하우스1단지,84.86,2,1321,신규,24.04~26.04,,
11470,40,"25,000",1987,2024,4,10,신정동,목동신시가지14,55.02,5,329,갱신,24.04~26.04,"25,000",40
11470,40,"34,000",1987,2024,4,9,신정동,목동신시가지9,53.82,14,312,갱신,24.06~26.06,"34,000",40
11470,0,"50,000",2020,2024,4,12,신월동,목동센트럴아이파크위브3단지,84.98,13,1077,신규,24.04~26.04,,
11470,5,"2,182",2000,2024,4,16,신정동,목동2차우성(1단지),32.76,3,337-2,,24.05~26.04,,
11470,5,"2,182",2000,2024,4,16,신정동,목동2차우성(1단지),32.76,13,337-2,신규,~26.04,,
11470,80,"150,000",2006,2024,4,28,목동,하이페리온2,155.586,7,961,신규,24.06~26.06,,
11470,75,"10,000",1986,2024,4,19,목동,목동신시가지6,47.94,11,911,신규,24.06~26.06,,
11470,0,"120,000",1999,2024,4,6,목동,부영그린타운1,133.36,19,907-12,신규,24.08~26.08,,
11470,120,"120,000",2006,2024,4,12,목동,하이페리온2,119.523,29,961,신규,24.08~26.08,,
11470,200,"31,000",1997,2024,4,23,목동,목동청구한신아파트,84.77,6,929,신규,24.07~26.07,,
11470,0,"175,000",2006,2024,4,8,목동,하이페리온2,155.586,20,961,신규,24.08~26.08,,
11470,125,"11,000",2005,2024,4,18,신월동,삼정그린뷰,84.14,11,1041,신규,24.08~26.08,,
11470,0,"95,000",1986,2024,4,20,목동,목동신시가지5,141.1,1,912,신규,24.08~26.08,,
11470,65,"60,000",2022,2024,4,29,신정동,호반써밋목동,84.9828,9,1327,신규,24.08~26.08,,
11470,190,"10,000",1997,2024,4,25,신정동,목동현대3차,71.16,7,1279,신규,24.08~26.07,,
11470,300,"100,000",2006,2024,4,9,목동,하이페리온2,155.586,11,961,신규,24.07~26.07,,
11470,200,"70,000",1999,2024,4,8,목동,벽산미라지타워,148.22,21,907-14,신규,24.07~26.07,,
11470,0,"46,000",1986,2024,4,18,목동,목동신시가지6,47.94,17,911,신규,24.07~26.07,,
11470,0,"85,000",1986,2024,4,20,목동,목동신시가지2,97.92,4,902,신규,24.07~26.07,,
11470,0,"85,000",2003,2024,4,2,목동,현대I-PARK,82.81,16,940,신규,24.07~26.12,,
11470,0,"25,000",1988,2024,4,24,신월동,신월시영,59.49,7,987-1,신규,24.07~26.07,,
11470,0,"48,000",2002,2024,4,3,신정동,푸른마을4,84.99,3,1285,신규,24.07~26.07,,
11470,0,"60,000",1986,2024,4,24,목동,목동신시가지2,65.82,14,902,신규,24.07~26.07,,
11470,0,"85,000",1999,2024,4,23,목동,진도2,84.75,10,936,신규,24.07~26.07,,
11470,0,"80,000",1994,2024,4,10,목동,효원빌라트,158.04,8,135-6,신규,24.07~26.07,,
