gu_code,price,trade_type,build_year,year,month,day,dong,apt_name,area,floor,jibun
11290,"127,000",중개거래,2008,2022,6,10,장위동,꿈의숲대명루첸아파트,122.021,2,317
11290,"110,800",중개거래,2022,2022,6,25,길음동,롯데캐슬클라시아,59.8745,15,1289
11290,"23,000",중개거래,2018,2022,6,19,동소문동5가,성신여대역솔하임,15.424,15,15
11290,"119,500",중개거래,2005,2022,6,28,길음동,길음뉴타운4단지(e편한세상),114.88,1,1281
11290,"11,700",중개거래,2013,2022,6,29,하월곡동,삼전솔하임3차,15.62,15,88-510
11290,"79,000",중개거래,1998,2022,6,21,석관동,두산,59.97,15,10
11290,"72,000",중개거래,1998,2022,6,21,돈암동,한신,68.13,13,609-1
11290,"75,000",중개거래,1999,2022,6,13,종암동,종암에스케이,59.86,8,104-1
11290,"62,300",중개거래,1999,2022,6,18,정릉동,길음뉴타운데시앙,59.42,2,1018
11290,"150,000",중개거래,2019,2022,6,20,길음동,래미안길음센터피스,84.95,11,1288
11290,"34,500",중개거래,1971,2022,6,10,안암동3가,대광,44.36,4,136-1
11290,"61,000",중개거래,2004,2022,6,10,안암동3가,동관아트빌,105.24,6,42-1
11290,"36,000",중개거래,1983,2022,6,24,종암동,고려,65.46,3,125-1
11290,"127,000",중개거래,2008,2022,6,10,장위동,꿈의숲대명루첸아파트,122.021,2,317
11290,"124,000",중개거래,2013,2022,6,18,돈암동,돈암동해피트리,132.43,8,642
11290,"35,000",중개거래,1971,2022,6,7,안암동3가,대광,61.92,3,136-1
11290,"12,500",중개거래,2019,2022,6,23,장위동,석계역한일노벨리아시티,15.2144,10,8-2
11290,"75,000",중개거래,1999,2022,6,5,돈암동,돈암동삼성,59.4,13,15-1
11290,"117,000",중개거래,1998,2022,6,10,돈암동,한신,132.96,15,609-1
11290,"83,000",중개거래,1998,2022,6,10,석관동,두산,59.97,18,10
11290,"86,000",중개거래,1998,2022,6,20,돈암동,한신,84.87,9,609-1
11290,"110,000",중개거래,1998,2022,6,10,석관동,두산,134.97,9,10
11290,"96,000",중개거래,2003,2022,6,11,길음동,길음동동부센트레빌(1278-0),84.844,4,1278
11290,"97,000",중개거래,2008,2022,6,9,정릉동,라온유,84.65,23,1034
11290,"65,000",중개거래,2007,2022,6,11,하월곡동,월곡래미안루나밸리,59.98,8,226
11290,"61,500",중개거래,1998,2022,6,20,석관동,두산,54.55,1,10
11290,"64,500",중개거래,2005,2022,6,11,정릉동,정릉풍림아이원,59.88,15,239
11290,"60,000",직거래,1999,2022,6,14,돈암동,돈암동 풍림아파트 101~105동,84.68,2,632
11290,"20,000",중개거래,2018,2022,6,15,동소문동5가,성신여대역솔하임,14.022,10,15
11290,"120,000",중개거래,2020,2022,6,20,장위동,래미안장위퍼스트하이,84.94,31,320
11290,"120,000",중개거래,2019,2022,6,8,길음동,롯데캐슬골든힐스,84.932,12,1287-1
11290,"114,500",직거래,2008,2022,6,20,삼선동2가,삼선푸르지오,114.65,4,425
11290,"77,900",중개거래,2015,2022,6,11,정릉동,정릉꿈에그린,59.63,6,1037
11290,"125,000",중개거래,2017,2022,6,2,장위동,꿈의숲코오롱하늘채,84.87,17,319
11290,"85,500",중개거래,2006,2022,6,4,하월곡동,래미안월곡,59.754,16,225
11290,"75,500",중개거래,1999,2022,6,5,돈암동,돈암동삼성,59.4,12,15-1
11290,"61,500",중개거래,2005,2022,6,3,정릉동,정릉풍림아이원,59.88,10,239
11290,"141,000",중개거래,2010,2022,6,1,길음동,길음뉴타운8단지(래미안),114.98,21,1284
