gu_code,price,trade_type,build_year,year,month,day,dong,apt_name,area,floor,jibun
11200,"153,000",중개거래,2016,2021,12,28,하왕십리동,센트라스,59.94,19,1070
11200,"173,000",중개거래,2000,2021,12,24,행당동,대림e-편한세상,114.94,13,347
11200,"173,000",중개거래,2000,2021,12,24,행당동,대림e-편한세상,114.94,13,347
11200,"13,000",중개거래,2013,2021,12,31,하왕십리동,상리제나우스,12.84,6,966-18
11200,"170,000",중개거래,2009,2021,12,22,성수동2가,서울숲힐스테이트,57.49,3,843
11200,"143,000",중개거래,2001,2021,12,17,금호동4가,대우,84.71,5,800
11200,"140,000",중개거래,2015,2021,12,12,하왕십리동,텐즈힐(1단지),59.88,8,1066
11200,"108,000",중개거래,2001,2021,12,22,성수동2가,신성미소지움,59.4,1,833
11200,"151,000",중개거래,2016,2021,12,27,옥수동,옥수파크힐스117동~125동,59.78,12,528-1
11200,"125,000",중개거래,1998,2021,12,9,마장동,현대,84.91,25,818
11200,"204,000",중개거래,2012,2021,12,20,옥수동,래미안 옥수 리버젠,84.81,10,561
11200,"550,000",중개거래,2017,2021,12,27,성수동1가,트리마제,152.1556,16,718
11200,"175,000",중개거래,2016,2021,12,30,하왕십리동,센트라스,84.99,8,1070
11200,"73,000",중개거래,2003,2021,12,18,행당동,서울숲한성,83.64,5,1-115
11200,"171,000",중개거래,2007,2021,12,22,금호동4가,서울숲푸르지오,84.6,6,340
11200,"162,000",중개거래,2007,2021,12,11,금호동4가,서울숲푸르지오,84.87,9,340
11200,"101,000",중개거래,1997,2021,12,3,행당동,두산,59.94,21,345
11200,"257,500",중개거래,2014,2021,12,6,행당동,서울숲더샵,150.2,35,377
11200,"139,000",중개거래,1997,2021,12,11,성수동1가,쌍용,59.76,20,706
11200,"123,000",중개거래,1996,2021,12,10,하왕십리동,벽산,84.94,9,258
11200,"17,500",중개거래,2015,2021,12,20,마장동,삼성홈타운,18.06,2,834
11200,"100,000",직거래,2005,2021,12,27,금호동3가,금호1차푸르지오,59.97,4,917
11200,"105,000",중개거래,2017,2021,12,23,성수동1가,트리마제,25.3284,12,718
11200,"139,500",중개거래,2003,2021,12,3,금호동4가,롯데,84.99,3,1250
11200,"120,000",중개거래,2001,2021,12,1,금호동1가,금호삼성래미안,59.95,8,1500
11200,"134,000",중개거래,2014,2021,12,20,상왕십리동,텐즈힐(2단지),59.98,1,811
11200,"115,500",중개거래,2000,2021,12,4,행당동,행당한진타운,59.96,20,346
11200,"123,000",중개거래,2006,2021,12,1,금호동1가,신금호두산위브,84.32,4,1818
11200,"100,000",중개거래,2003,2021,12,6,성수동2가,롯데캐슬파크,58.491,14,835
11200,"136,500",직거래,1986,2021,12,7,옥수동,극동,68.58,11,428
