gu_code,price,trade_type,build_year,year,month,day,dong,apt_name,area,floor,jibun
11170,"427,940",중개거래,1971,2024,1,27,이촌동,한강맨숀,120.56,5,300-23
11170,"178,000",중개거래,1997,2024,1,31,이촌동,현대한강,84.88,14,400
11170,"159,000",중개거래,1998,2024,1,20,이촌동,한가람,59.88,12,404
11170,"160,000",중개거래,2002,2024,1,30,서빙고동,금호베스트빌1,156.58,4,296
11170,"428,000",중개거래,1971,2024,1,27,이촌동,한강맨숀,120.56,5,300-23
11170,"120,000",직거래,2001,2024,1,25,도원동,삼성래미안,114.99,9,23
11170,"305,000",중개거래,2002,2024,1,22,이촌동,이촌동삼성리버스위트,134.9,10,426
11170,"185,000",중개거래,1994,2024,1,30,이촌동,대림,84.78,9,395
11170,"180,000",중개거래,1994,2024,1,23,이촌동,대림,84.78,19,395
11170,"139,000",중개거래,2015,2024,1,22,문배동,용산KCC웰츠타워,84.68,32,11-10
11170,"280,000",중개거래,2009,2024,1,20,용산동5가,용산파크타워(24-1),140.31,22,24-1
11170,"220,000",중개거래,2001,2024,1,23,이촌동,동부센트레빌,100.92,8,418
11170,"180,000",중개거래,1974,2024,1,22,이촌동,점보,177.62,17,300-10
11170,"193,000",중개거래,1998,2024,1,14,이촌동,한가람,84.89,9,404
11170,"191,000",중개거래,1998,2024,1,27,이촌동,한가람,84.96,4,404
11170,"40,500",중개거래,1970,2024,1,6,한남동,한남하우스,60.63,5,723-3
11170,"183,500",중개거래,2001,2024,1,6,이촌동,동부센트레빌,100.8,9,418
11170,"252,000",중개거래,2020,2024,1,24,한강로3가,센트럴파크,92.7398,24,98
11170,"149,500",중개거래,2003,2024,1,18,한강로3가,쌍용스윗닷홈,84.98,1,89
11170,"170,000",중개거래,2007,2024,1,27,한강로1가,대우월드마크용산,114.676,18,64
11170,"945,000",중개거래,2011,2024,1,10,한남동,한남더힐,235.312,7,810
11170,"154,500",중개거래,1999,2024,1,24,이촌동,이촌코오롱(A),59.82,10,412
11170,"188,000",중개거래,2001,2024,1,18,이촌동,동부센트레빌,101.14,13,418
11170,"140,000",중개거래,2019,2024,1,24,효창동,용산롯데캐슬센터포레,59.9525,15,287
11170,"159,000",중개거래,1998,2024,1,20,이촌동,한가람,59.88,12,404
11170,"154,000",중개거래,1998,2024,1,8,이촌동,한가람,59.88,15,404
11170,"197,000",중개거래,1982,2024,1,20,이태원동,청화1,106.12,7,22-2
11170,"197,000",중개거래,1998,2024,1,13,이촌동,한가람,84.89,13,404
11170,"240,000",중개거래,1992,2024,1,27,보광동,신동아1,84.93,10,448
11170,"197,000",중개거래,1982,2024,1,20,이태원동,청화1,106.12,7,22-2
11170,"239,198",중개거래,1974,2024,1,20,이촌동,현대맨숀,139.97,4,301-160
11170,"970,000",중개거래,2019,2024,1,12,한남동,나인원한남,206.8953,3,829
11170,"145,000",중개거래,1976,2024,1,5,이촌동,미주B,149.09,4,302-48
11170,"239,998",중개거래,1974,2024,1,17,이촌동,현대맨숀,139.97,4,301-160
11170,"155,000",중개거래,2005,2024,1,15,한강로1가,용산파크자이,99.85,10,50-1
11170,"154,000",중개거래,1998,2024,1,20,이촌동,한가람,59.88,15,404
11170,"136,000",중개거래,2019,2024,1,6,효창동,용산롯데캐슬센터포레,59.9525,4,287
11170,"182,000",중개거래,1998,2024,1,19,이촌동,강촌,84.85,15,402
11170,"156,000",중개거래,1998,2024,1,3,이촌동,한가람,59.88,8,404
11170,"264,000",중개거래,2020,2024,1,2,한강로3가,센트럴파크,102.8617,10,98
11170,"345,000",중개거래,2003,2024,1,6,이촌동,LG한강자이,169.44,3,430
11170,"145,000",중개거래,2019,2024,1,19,효창동,용산롯데캐슬센터포레,59.79,19,287
11170,"142,000",중개거래,1997,2024,1,12,이촌동,현대한강,59.55,12,400
11170,"110,000",중개거래,1999,2024,1,6,원효로4가,강변삼성스위트,59.94,21,178
11170,"234,000",중개거래,1992,2024,1,9,보광동,신동아1,84.93,7,448
11170,"178,000",중개거래,2001,2024,1,12,이촌동,동부센트레빌,100.8,1,418
11170,"170,000",중개거래,2011,2024,1,4,신계동,용산e편한세상,84.89,2,48
