gu_code,price,trade_type,build_year,year,month,day,dong,apt_name,area,floor,jibun
11290,"80,000",중개거래,2005,2022,8,19,정릉동,정릉풍림아이원,114.75,13,239
11290,"111,500",중개거래,2019,2022,8,23,석관동,래미안아트리치,84.97,12,410
11290,"100,000",중개거래,2019,2022,8,27,길음동,래미안길음센터피스,59.9,32,1288
11290,"103,000",중개거래,2020,2022,8,29,장위동,래미안장위퍼스트하이,84.94,12,320
11290,"77,000",중개거래,1998,2022,8,24,돈암동,한진(609-1),84.87,9,609-1
11290,"80,000",중개거래,2009,2022,8,23,석관동,석관래미안,59.9,5,407
11290,"70,000",중개거래,1998,2022,8,20,석관동,두산,59.97,8,10
11290,"95,000",직거래,2010,2022,8,19,하월곡동,코업스타클래스,170.45,13,46-73
11290,"70,000",중개거래,1998,2022,8,27,돈암동,범양,84.92,11,631
11290,"75,000",중개거래,2008,2022,8,17,종암동,우림카이저팰리스,84.98,21,132
11290,"107,500",중개거래,2006,2022,8,25,하월곡동,래미안월곡,84.589,15,225
11290,"86,000",중개거래,2010,2022,8,26,하월곡동,꿈의숲푸르지오,84.73,6,228
11290,"83,000",중개거래,2020,2022,8,12,장위동,래미안장위퍼스트하이,59.99,8,320
11290,"63,000",중개거래,2006,2022,8,20,돈암동,돈암동더샵아파트,84.817,18,603
11290,"83,000",중개거래,2021,2022,8,25,장위동,래미안포레카운티,59.92,19,322
11290,"83,000",중개거래,2010,2022,8,6,길음동,길음뉴타운7단지(두산위브),59.98,8,1285
11290,"50,000",중개거래,2005,2022,8,6,정릉동,정릉풍림아이원,59.88,7,239
11290,"60,000",직거래,2005,2022,8,7,정릉동,중앙하이츠빌2단지,84.6824,12,435
11290,"110,000",중개거래,2020,2022,8,13,장위동,래미안장위퍼스트하이,84.98,22,320
11290,"94,000",중개거래,2017,2022,8,10,보문동6가,보문파크뷰자이,59.19,7,458
11290,"63,000",중개거래,2006,2022,8,20,돈암동,돈암동더샵아파트,84.817,18,603
11290,"85,700",중개거래,2009,2022,8,24,정릉동,정릉2차e-편한세상,84.4,13,1035
11290,"89,000",중개거래,2005,2022,8,16,길음동,길음뉴타운2단지푸르지오,114.73,4,1280
11290,"73,000",중개거래,2005,2022,8,9,정릉동,중앙하이츠빌2단지,84.95,3,435
11290,"90,000",직거래,1999,2022,8,12,종암동,종암에스케이,114.75,18,104-1
11290,"36,000",중개거래,1977,2022,8,17,정릉동,"산장아파트가동,나동",52.89,3,780
11290,"89,000",중개거래,2003,2022,8,8,길음동,길음뉴타운1단지(래미안길음1차),84.96,5,1279
11290,"13,000",직거래,2019,2022,8,6,장위동,석계역한일노벨리아시티,14.7145,3,8-2
11290,"50,000",중개거래,1977,2022,8,14,정릉동,"산장아파트가동,나동",71.5,4,780
11290,"105,000",중개거래,2020,2022,8,4,장위동,래미안장위퍼스트하이,84.94,19,320
