gu_code,monthly_rent,deposit,build_year,year,month,day,dong,apt_name,area,floor,jibun,contract_type,contract_term,prev_deposit,prev_monthly_rent
11470,0,"24,000",2000,2021,9,8,신정동,신정6현대,59.4,7,743-2,,,,
11470,0,"48,000",2005,2021,9,13,신월동,신월2차보람쉬움,82.51,5,1039,,,,
11470,0,"75,000",1997,2021,9,7,목동,목동청구한신아파트,84.77,4,929,,,,
11470,0,"120,000",1986,2021,9,13,목동,목동신시가지5,95.06,15,912,,,,
11470,0,"65,000",2002,2021,9,6,신정동,아이파크,59.82,15,1296,,,,
11470,0,"71,000",1986,2021,9,4,목동,목동신시가지3,64.98,7,903,,,,
11470,0,"39,690",1986,2021,9,4,목동,목동신시가지7,53.88,5,925,,,,
11470,80,"15,000",1987,2021,9,17,신정동,목동신시가지8,54.94,20,314,,,,
11470,0,"31,000",2002,2021,9,28,목동,목동금호베스트빌,58.86,8,549,,,,
11470,0,"49,000",1985,2021,9,25,신월동,신안약수,84.56,9,591-1,,,,
11470,100,"30,000",2005,2021,9,18,목동,롯데캐슬위너,59.98,19,956,,,,
11470,0,"46,000",2003,2021,9,30,신월동,벽산블루밍2단지,59.822,17,1023,,,,
11470,0,"42,500",1997,2021,9,30,목동,삼익,58.76,11,933,,,,
11470,0,"25,000",1987,2021,9,7,신월동,신안파크,56.78,3,350-2,,,,
11470,0,"42,400",1988,2021,9,3,신정동,목동신시가지11,51.48,12,325,,,,
11470,80,"58,000",1997,2021,9,6,신정동,목동현대3차,114.93,13,1279,,,,
11470,50,"23,500",1987,2021,9,27,신정동,목동신시가지10,70.2,8,311,,,,
11470,0,"49,000",1985,2021,9,25,신월동,신안약수,84.56,9,591-1,,,,
11470,0,"20,500",1988,2021,9,18,신월동,신월시영,43.2,9,987-1,,,,
11470,0,"44,000",1987,2021,9,16,신정동,목동신시가지8,54.94,12,314,,,,
11470,0,"36,000",2001,2021,9,20,신정동,목동2삼성래미안,59.92,11,1295,,,,
11470,0,"74,500",1986,2021,9,3,목동,목동신시가지3,95.03,3,903,,,,
11470,0,"25,000",1988,2021,9,16,신월동,신월시영,50.67,10,987-1,,,,
11470,0,"47,000",1987,2021,9,4,신정동,목동신시가지14,55.02,14,329,,,,
11470,80,"10,000",1987,2021,9,14,신정동,목동신시가지8,54.94,15,314,,,,
11470,0,"58,000",2014,2021,9,14,신월동,롯데캐슬,59.747,15,1063,,,,
11470,60,"45,000",1987,2021,9,11,신정동,목동신시가지14,71.37,4,329,,,,
11470,0,"54,000",1986,2021,9,10,목동,목동신시가지6,47.94,11,911,,,,
11470,0,"39,900",2000,2021,9,6,목동,성원2,84.73,14,709-2,,,,
11470,30,"50,000",1988,2021,9,3,신정동,목동신시가지12,71.64,10,326,,,,
11470,0,"29,400",1986,2021,9,4,목동,목동신시가지6,47.94,7,911,,,,
11470,100,"59,000",1997,2021,9,13,목동,목동청구한신아파트,84.76,11,929,,,,
11470,30,"50,000",1988,2021,9,3,신정동,목동신시가지12,71.64,10,326,,,,
11470,0,"85,000",1999,2021,9,11,목동,진도2,59.46,10,936,,,,
11470,0,"15,000",1987,2021,9,28,신월동,신안파크,47.6,3,350-2,,,,
11470,0,"16,000",1987,2021,9,23,신월동,신안파크,72.97,1,350-2,,,,
11470,0,"50,000",2012,2021,9,4,신월동,동원데자뷰,76.2081,6,1060,,,,
11470,0,"31,000",1986,2021,9,25,목동,목동신시가지4,48.69,2,904,신규,21.10~25.10,,
11470,0,"48,500",1985,2021,9,14,목동,목동신시가지1,66,12,901,갱신,21.11~22.11,"46,200",
11470,0,"240,000",2003,2021,9,2,목동,현대하이페리온,151.56,11,916,신규,21.12~23.12,,
11470,0,"29,400",1986,2021,9,4,목동,목동신시가지6,47.94,7,911,,,,
11470,33,"4,096",2019,2021,9,28,신정동,이든채(101동~104동),39.62,1,1320-8,신규,,,
11470,8,"6,089",2020,2021,9,9,신월동,목동센트럴아이파크위브4단지,45.96,18,1078,신규,,,
11470,8,"6,089",2020,2021,9,9,신월동,목동센트럴아이파크위브4단지,45.96,13,1078,신규,,,
11470,120,"45,000",1986,2021,9,11,목동,목동신시가지7,101.2,12,925,갱신,21.10~23.10,"45,000",90
