gu_code,price,trade_type,build_year,year,month,day,dong,apt_name,area,floor,jibun
11215,"73,000",중개거래,2001,2025,11,24,자양동,스카이빌1차,84.24,6,767
11215,"60,000",중개거래,2023,2025,11,24,구의동,광진파크하우스,44.2079,7,682
11215,"131,700",중개거래,1988,2025,11,26,자양동,우성1,51.57,5,579
11215,"100,000",중개거래,2006,2025,11,28,자양동,구의현대홈시티,84.9,8,779-8
11215,"115,000",중개거래,1994,2025,11,29,광장동,워커힐현대빌,133.68,7,105
11215,"78,500",중개거래,1999,2025,11,14,중곡동,에스케이,84.6,2,292
11215,"44,831",직거래,2022,2025,11,19,구의동,현대팰리스,47,6,231-18
11215,"215,000",중개거래,1996,2025,11,21,구의동,구의현대2단지,84.91,10,611
11215,"75,000",중개거래,2014,2025,11,30,구의동,주성힐스톤,61.12,1,664
11215,"194,500",중개거래,2021,2025,11,27,구의동,e편한세상광진그랜드파크,84.9957,14,680
11215,"92,500",중개거래,1994,2025,11,17,광장동,워커힐현대빌,133.68,3,105
11215,"176,500",중개거래,1996,2025,11,17,광장동,광나루현대,84.92,16,567
11215,"16,400",중개거래,2017,2025,11,27,화양동,씨즈건대힐스,14.23,9,530
11215,"68,000",중개거래,2018,2025,11,29,구의동,스타파크아파트,57.21,5,80-37
11215,"73,000",직거래,2003,2025,11,28,구의동,퓨전빌,83.69,1,244-6
11215,"121,360",중개거래,2024,2025,11,27,광장동,광장르엣지29,71.22,10,530-1
11215,"117,500",중개거래,2021,2025,11,27,구의동,구의자이르네,73.6556,9,671
11215,"150,000",중개거래,1999,2025,11,27,자양동,자양삼성,59.76,16,787
11215,"210,000",중개거래,1995,2025,11,26,광장동,"현대8(801동,802동)",84.92,14,565
11215,"214,000",중개거래,1996,2025,11,18,구의동,구의현대2단지,84.88,12,611
11215,"169,000",중개거래,1995,2025,11,27,자양동,자양2현대,84.66,10,761
11215,"73,000",중개거래,2001,2025,11,24,자양동,스카이빌1차,84.24,6,767
11215,"60,000",중개거래,2023,2025,11,24,구의동,광진파크하우스,44.2079,7,682
11215,"93,000",중개거래,2021,2025,11,8,구의동,구의자이르네,59.7814,8,671
11215,"68,000",중개거래,2007,2025,11,13,중곡동,웰빙,83.43,6,35-10
11215,"200,000",중개거래,2006,2025,11,24,자양동,이튼타워리버2차,84.61,15,507-6
11215,"98,000",중개거래,2006,2025,11,22,구의동,구의동현진에버빌,66.062,1,660
11215,"22,300",중개거래,2019,2025,11,11,화양동,화양동동도센트리움캠퍼스파크,16.273,15,116-2
11215,"74,900",중개거래,2022,2025,11,10,구의동,스타파크,57.79,4,59-1
11215,"81,000",중개거래,2020,2025,11,4,구의동,광진파크프라이빗,59.71,2,670
11215,"125,000",중개거래,1987,2025,11,11,광장동,워커힐푸르지오,65.63,11,148-4
11215,"130,000",중개거래,1996,2025,11,13,자양동,한라아파트,59.96,10,762
11215,"220,000",중개거래,1989,2025,11,14,광장동,현대5,74.88,16,554-7
11215,"162,000",중개거래,2021,2025,11,13,자양동,자양호반써밋,59.0905,11,861
11215,"95,000",중개거래,2021,2025,11,8,구의동,구의자이르네,59.7173,9,671
11215,"119,000",직거래,2018,2025,11,3,구의동,래미안파크스위트,75.82,11,668
11215,"110,000",중개거래,1993,2025,11,6,자양동,자양동현대,84.55,14,645-5
11215,"168,000",중개거래,2017,2025,11,4,자양동,래미안프리미어팰리스,84.81,14,859
