gu_code,price,trade_type,build_year,year,month,day,dong,apt_name,area,floor,jibun
11410,"83,000",,1992,2020,12,2,홍제동,홍제현대,119.32,1,331
11410,"104,500",,2018,2020,12,19,연희동,연희파크푸르지오,84.8,9,747
11410,"70,000",,2005,2020,12,18,연희동,일진아이윌,84.794,10,218-16
11410,"127,500",,2020,2020,12,31,남가좌동,래미안루센티아,84.95,12,390
11410,"160,000",,2012,2020,12,29,북가좌동,DMC래미안e편한세상,153.86,18,481
11410,"159,000",,2015,2020,12,26,북아현동,신촌푸르지오,84.9559,18,1011
11410,"149,000",,1999,2020,12,6,북아현동,경남(2차),134.9,7,118-9
11410,"169,000",,2015,2020,12,31,남가좌동,DMC파크뷰자이1단지,121.614,19,385
11410,"134,800",,2012,2020,12,29,북가좌동,DMC래미안e편한세상,84.95,20,481
11410,"130,000",,2012,2020,12,27,북가좌동,DMC래미안e편한세상,84.97,4,481
11410,"93,000",,2009,2020,12,30,홍제동,인왕산한신휴플러스,84.925,12,469
11410,"55,000",,2004,2020,12,31,창천동,씨밀레,82.65,2,468
11410,"158,000",,2015,2020,12,31,북아현동,신촌푸르지오,84.9892,12,1011
11410,"99,000",,1995,2020,12,29,영천동,독립문삼호,84.78,4,100
11410,"130,000",,2015,2020,12,28,남가좌동,DMC파크뷰자이1단지,84.971,24,385
11410,"62,000",,1988,2020,12,25,홍은동,"현대(1,2차)",59.96,11,202-5
11410,"158,000",,2015,2020,12,28,북아현동,신촌푸르지오,84.9953,11,1011
11410,"132,000",,2015,2020,12,28,북아현동,신촌푸르지오,59.88,2,1011
11410,"160,000",,2012,2020,12,29,북가좌동,DMC래미안e편한세상,153.86,18,481
11410,"135,000",,2015,2020,12,25,북아현동,신촌푸르지오,59.88,6,1011
11410,"42,950",,2018,2020,12,30,홍은동,아르팰리스,53.76,3,277-169
11410,"110,000",,1998,2020,12,24,현저동,독립문극동(200-0),84.87,8,200
11410,"118,000",,2012,2020,12,26,북가좌동,DMC래미안e편한세상,84.95,7,481
11410,"127,500",,2020,2020,12,31,남가좌동,래미안루센티아,84.95,12,390
11410,"73,000",,1993,2020,12,31,홍제동,홍제한양,60.06,11,82
11410,"77,000",,2002,2020,12,26,냉천동,동부센트레빌,59.86,10,260
11410,"140,500",,2015,2020,12,29,남가좌동,DMC파크뷰자이1단지,84.98,18,385
11410,"106,500",,2020,2020,12,28,남가좌동,래미안루센티아,59.98,3,390
11410,"135,000",,2015,2020,12,22,남가좌동,DMC파크뷰자이1단지,84.971,18,385
11410,"120,500",,2015,2020,12,28,남가좌동,DMC파크뷰자이4단지,84.968,4,385
11410,"51,500",,2004,2020,12,22,창천동,씨밀레,82.65,5,468
11410,"71,000",,1993,2020,12,31,홍제동,홍제한양,60.06,3,82
11410,"32,900",,2004,2020,12,23,홍은동,백련,84.6,5,277-105
11410,"73,500",,1993,2020,12,25,홍제동,홍제한양,60.06,12,82
11410,"131,000",,2018,2020,12,27,북아현동,e편한세상신촌1단지,59.85,16,1013
11410,"70,000",,2006,2020,12,30,천연동,천연뜨란채,59.47,2,145
11410,"77,000",,2000,2020,12,19,홍제동,홍제원현대(459-0),59.93,5,459
11410,"163,000",,2018,2020,12,24,북아현동,e편한세상신촌4단지,84.89,6,1013
11410,"154,000",,2018,2020,12,30,남가좌동,DMC센트럴아이파크,103.19,12,388
11410,"149,000",,2018,2020,12,31,남가좌동,DMC센트럴아이파크,103.19,11,388
11410,"91,500",,2000,2020,12,19,홍제동,인왕산현대,84.9,9,460
11410,"89,700",,2000,2020,12,19,홍제동,홍제원현대(459-0),84.9,18,459
11410,"115,000",,1993,2020,12,25,홍제동,홍제한양,120.14,12,82
11410,"61,500",,1993,2020,12,21,홍제동,홍제한양,60.06,1,82
11410,"120,000",,2012,2020,12,30,북가좌동,DMC래미안e편한세상,84.95,21,481
11410,"104,500",,2018,2020,12,19,연희동,연희파크푸르지오,84.8,9,747
11410,"111,000",,2015,2020,12,17,남가좌동,DMC파크뷰자이2단지,59.981,10,385
11410,"121,500",,2015,2020,12,16,남가좌동,DMC파크뷰자이4단지,84.968,2,385
11410,"109,500",,2015,2020,12,22,남가좌동,DMC파크뷰자이2단지,59.981,2,385
11410,"135,000",,2012,2020,12,28,북가좌동,DMC래미안e편한세상,84.95,10,481
11410,"124,000",,2012,2020,12,23,북가좌동,DMC래미안e편한세상,84.94,22,481
11410,"52,500",,2002,2020,12,19,홍은동,세한숲속마을,83.91,11,산11-244
11410,"51,900",,1996,2020,12,15,홍제동,유원하나,58.77,13,454
11410,"64,000",,2013,2020,12,30,홍은동,반석블레스,59.98,2,440-1
11410,"103,000",,2011,2020,12,19,냉천동,돈의문센트레빌,59.98,7,261
11410,"90,000",,2009,2020,12,18,홍제동,인왕산한신휴플러스,84.925,8,469
11410,"80,000",,1992,2020,12,22,홍제동,홍제현대,75.15,14,331
11410,"138,500",,2015,2020,12,24,남가좌동,DMC파크뷰자이2단지,84.968,5,385
11410,"129,500",,2015,2020,12,19,남가좌동,DMC파크뷰자이2단지,84.968,18,385
11410,"90,000",,1993,2020,12,31,홍제동,홍제한양,84.77,10,82
11410,"133,500",,2020,2020,12,16,홍제동,홍제센트럴IPARK,84.9356,14,473
11410,"72,700",,1993,2020,12,19,홍제동,홍제한양,60.06,9,82
11410,"160,000",,2018,2020,12,27,북아현동,e편한세상신촌2단지,84.95,15,1013
11410,"137,800",,2015,2020,12,28,남가좌동,DMC파크뷰자이1단지,84.974,5,385
11410,"120,000",,2015,2020,12,15,남가좌동,DMC파크뷰자이3단지,84.909,14,385
11410,"159,000",,2015,2020,12,31,남가좌동,DMC파크뷰자이1단지,120.492,10,385
11410,"159,000",,2015,2020,12,26,북아현동,신촌푸르지오,84.9559,18,1011
11410,"175,000",,2018,2020,12,19,북아현동,e편한세상신촌4단지,84.82,9,1013
11410,"37,000",,2018,2020,12,11,홍제동,홍제헤렌,53.03,8,175-3
11410,"83,500",,1999,2020,12,28,북아현동,두산,59.96,12,1009
11410,"105,000",,2012,2020,12,15,북가좌동,DMC래미안e편한세상,59.97,12,481
11410,"39,700",,1988,2020,12,25,홍은동,서강1차(1동),71.53,5,186-22
11410,"74,000",,2002,2020,12,17,홍제동,문화촌현대,84.99,20,463
11410,"79,000",,1999,2020,12,18,대현동,신촌럭키,59.7,3,144
11410,"114,000",,2012,2020,12,12,북가좌동,DMC래미안e편한세상,59.97,17,481
11410,"75,000",,2002,2020,12,22,홍제동,문화촌현대,84.99,5,463
11410,"78,000",,2020,2020,12,17,홍은동,북한산두산위브,59.96,4,467
11410,"104,000",,1999,2020,12,18,대현동,신촌럭키,83.38,12,144
11410,"53,500",,2004,2020,12,17,연희동,백광,77.41,6,69-21
11410,"19,000",,1978,2020,12,14,연희동,시민,63.6,5,188-41
11410,"82,000",,2000,2020,12,12,남가좌동,DMC래미안클라시스,59.59,5,377
11410,"74,000",,2002,2020,12,12,냉천동,동부센트레빌,59.86,12,260
11410,"121,000",,2004,2020,12,14,북아현동,화신,111.93,5,1-78
11410,"41,000",,1972,2020,12,14,홍제동,서울맨션,50.64,4,315-7
11410,"136,000",,2017,2020,12,15,홍은동,북한산더샵,114.62,7,464
11410,"98,000",,2015,2020,12,19,남가좌동,DMC파크뷰자이4단지,59.981,4,385
11410,"70,000",,2005,2020,12,18,연희동,일진아이윌,84.794,10,218-16
11410,"128,000",,2012,2020,12,19,북가좌동,DMC래미안e편한세상,84.95,17,481
11410,"83,500",,2001,2020,12,19,연희동,성원,84.95,5,740
11410,"100,000",,2011,2020,12,19,냉천동,돈의문센트레빌,59.98,4,261
11410,"92,800",,1998,2020,12,18,현저동,독립문극동(200-0),59.58,9,200
11410,"134,500",,1998,2020,12,19,현저동,독립문극동(200-0),114.51,14,200
11410,"98,700",,1995,2020,12,14,영천동,독립문삼호,84.78,11,100
11410,"84,000",,1994,2020,12,16,홍제동,청구1차,84.78,15,453
11410,"65,000",,2002,2020,12,10,홍제동,문화촌현대,59.94,11,463
11410,"88,000",,1994,2020,12,15,홍제동,청구1차,84.78,16,453
11410,"69,500",,2006,2020,12,10,홍제동,홍제비콘드림힐,84.946,6,468
11410,"80,300",,2020,2020,12,15,홍은동,북한산두산위브,59.54,6,467
11410,"156,000",,2018,2020,12,25,북아현동,e편한세상신촌2단지,84.98,18,1013
11410,"75,000",,2000,2020,12,26,홍제동,인왕산현대,59.93,9,460
11410,"155,000",,2015,2020,12,20,북아현동,신촌푸르지오,84.9572,14,1011
11410,"80,000",,1993,2020,12,18,홍제동,홍제한양,84.77,3,82
11410,"73,000",,2009,2020,12,15,홍은동,홍은센트레빌,59.96,7,461
11410,"94,000",,2000,2020,12,17,홍제동,홍제원현대(459-0),84.9,17,459
11410,"24,500",,2003,2020,12,24,홍은동,그랜드(B동),58.48,5,265-46
11410,"84,500",,1994,2020,12,12,홍제동,청구1차,84.78,15,453
11410,"80,000",,1999,2020,12,18,북아현동,두산,59.96,13,1009
11410,"123,000",,2012,2020,12,19,북가좌동,DMC래미안e편한세상,84.95,8,481
11410,"84,500",,1994,2020,12,15,홍제동,청구1차,84.78,11,453
11410,"148,000",,2012,2020,12,24,북가좌동,DMC래미안e편한세상,120.95,19,481
11410,"20,000",,1988,2020,12,12,홍은동,초원,49.26,4,8-26
11410,"81,000",,1999,2020,12,18,대현동,신촌럭키,59.7,8,144
11410,"75,800",,1988,2020,12,23,홍은동,"현대(1,2차)",84.77,7,202-5
11410,"129,500",,2012,2020,12,9,북가좌동,DMC래미안e편한세상,84.95,11,481
11410,"115,000",,2012,2020,12,6,북가좌동,DMC래미안e편한세상,84.95,1,481
11410,"150,000",,2015,2020,12,15,북아현동,신촌푸르지오,84.9572,5,1011
11410,"111,500",,2005,2020,12,12,남가좌동,래미안남가좌2차,84.806,2,379
11410,"122,500",,1995,2020,12,11,영천동,독립문삼호,108.63,16,100
11410,"126,500",,2015,2020,12,17,남가좌동,DMC파크뷰자이4단지,84.968,4,385
11410,"78,500",,1992,2020,12,22,홍제동,홍제현대,75.15,14,331
11410,"55,000",,2005,2020,12,11,홍제동,동일5차101동,84.51,2,312-221
11410,"55,000",,2001,2020,12,26,홍제동,홍제삼성래미안,32.76,7,461
11410,"75,000",,2002,2020,12,3,냉천동,동부센트레빌,59.86,11,260
11410,"69,500",,2006,2020,12,12,천연동,천연뜨란채,59.47,1,145
11410,"121,000",,2018,2020,12,12,남가좌동,DMC센트럴아이파크,84.98,15,388
11410,"132,800",,2015,2020,12,24,남가좌동,DMC파크뷰자이1단지,84.98,15,385
11410,"134,500",,2020,2020,12,19,홍제동,홍제센트럴IPARK,84.9728,12,473
11410,"159,000",,2015,2020,12,19,북아현동,신촌푸르지오,84.9572,11,1011
11410,"83,500",,2001,2020,12,5,홍제동,청구3차,84.96,4,462
11410,"120,000",,2018,2020,12,9,남가좌동,DMC센트럴아이파크,84.95,6,388
11410,"106,650",,2001,2020,12,5,북아현동,우민B,84.42,1,1-49
11410,"125,500",,2015,2020,12,9,남가좌동,DMC파크뷰자이1단지,84.974,12,385
11410,"14,400",,2012,2020,12,18,창천동,연대JK,24.09,5,518
11410,"112,000",,2015,2020,12,8,남가좌동,DMC파크뷰자이2단지,59.981,15,385
11410,"106,000",,1998,2020,12,14,현저동,독립문극동(200-0),84.87,5,200
11410,"151,500",,2012,2020,12,26,북가좌동,DMC래미안e편한세상,120.95,26,481
11410,"51,000",,2004,2020,12,2,북아현동,건일팰리스,78.42,5,1-52
11410,"149,900",,2015,2020,12,6,북아현동,신촌푸르지오,84.9738,5,1011
11410,"106,500",,2015,2020,12,12,남가좌동,DMC파크뷰자이5단지,59.981,10,385
11410,"59,000",,1997,2020,12,16,홍은동,홍은동벽산,58.64,3,455
11410,"15,800",,2014,2020,12,11,연희동,연희자이엘라,13.642,5,745
11410,"100,000",,2005,2020,12,7,남가좌동,래미안남가좌2차,59.788,13,379
11410,"115,000",,2019,2020,12,15,남가좌동,DMC에코자이,59.79,13,389
11410,"86,000",,1992,2020,12,22,홍제동,홍제현대,106.18,6,331
11410,"55,700",,2007,2020,12,19,대현동,예스에이피엠,63.41,13,145
11410,"74,500",,1998,2020,12,7,북가좌동,월드컵현대,59.76,7,371-1
11410,"55,000",,1998,2020,12,12,홍제동,성원,41.5,3,456
11410,"117,500",,2017,2020,12,23,홍은동,북한산더샵,84.956,19,464
11410,"165,000",,2012,2020,12,5,북가좌동,DMC래미안e편한세상,153.25,20,481
11410,"120,000",,2017,2020,12,16,홍은동,북한산더샵,84.956,12,464
11410,"83,500",,2002,2020,12,12,홍제동,문화촌현대,84.99,7,463
