gu_code,monthly_rent,deposit,build_year,year,month,day,dong,apt_name,area,floor,jibun,contract_type,contract_term,prev_deposit,prev_monthly_rent
11650,0,"37,577",2010,2023,6,21,반포동,반포리체,59.993,4,30-26,,,,
11650,226,"70,000",2009,2023,6,18,반포동,래미안퍼스티지,84.93,5,18-1,,,,
11650,0,"130,000",2016,2023,6,16,반포동,아크로리버파크,84.95,1,2-12,,,,
11650,0,"127,000",2006,2023,6,8,서초동,롯데캐슬클래식,120.18,10,1312-3,,,,
11650,0,"50,000",1992,2023,6,2,잠원동,훼미리,84.9,2,51,,,,
11650,0,"61,000",2015,2023,6,9,내곡동,서초포레스타2단지,59.09,11,384,,,,
11650,0,"68,000",1999,2023,6,6,잠원동,블루힐하우스,59.85,12,71-1,,,,
11650,0,"18,000",1994,2023,6,2,우면동,한라,59.98,3,67,,,,
11650,0,"85,000",2010,2023,6,28,방배동,서리풀e편한세상,59.94,8,906-13,,,,
11650,32,"85,000",2009,2023,6,17,반포동,반포자이,59.98,8,20-43,,,,
11650,0,"67,000",1991,2023,6,10,방배동,방배우성,117.19,3,2525,,,,
11650,350,"40,000",2006,2023,6,12,서초동,롯데캐슬클래식,120.18,12,1312-3,,,,
11650,220,"50,000",2020,2023,6,17,서초동,래미안 리더스원,59.97,15,1755,,,,
11650,0,"130,000",2018,2023,6,10,잠원동,신반포자이,84.97,15,160,,,,
11650,0,"61,000",1996,2023,6,24,양재동,우성KBS(113동),84.69,5,160-2,,,,
11650,180,"85,000",2019,2023,6,23,잠원동,래미안신반포리오센트,84.92,2,161,,,,
11650,700,"50,000",2016,2023,6,14,반포동,아크로리버파크,112.99,22,2-12,,,,
11650,400,"40,000",2013,2023,6,12,방배동,롯데캐슬아르떼,147.7221,7,424-28,,,,
11650,0,"95,000",2010,2023,6,10,반포동,반포리체,59.993,34,30-26,,,,
11650,0,"62,000",2014,2023,6,19,내곡동,서초더샵포레,84.3,8,411,,,,
11650,320,"20,000",2006,2023,6,18,서초동,롯데캐슬클래식,84.98,15,1312-3,,,,
11650,0,"82,000",2013,2023,6,13,우면동,서초호반써밋,101.0515,3,753,,,,
11650,0,"43,000",2013,2023,6,10,우면동,호반써밋서초파크,51.89,14,788,,,,
11650,370,"10,000",2017,2023,6,26,서초동,서초푸르지오써밋,74.96,21,1311-10,,,,
11650,0,"65,000",1992,2023,6,12,방배동,대우(효령),84.91,7,1038,,,,
11650,0,"52,000",1992,2023,6,6,잠원동,훼미리,84.9,4,51,,,,
11650,0,"71,000",1987,2023,6,17,반포동,반포미도,84.96,12,60-4,,,,
11650,700,"20,000",2018,2023,6,7,잠원동,아크로리버뷰신반포,84.82,16,159,,,,
11650,110,"20,000",1989,2023,6,9,반포동,반포미도2차아파트,71.49,6,60-5,,,,
11650,0,"53,000",2012,2023,6,24,우면동,서초힐스,59.91,7,773,,,,
11650,0,"51,000",2013,2023,6,3,우면동,호반써밋서초파크,59.93,23,788,,,,
11650,300,"30,000",2021,2023,6,4,반포동,디에이치반포라클라스,50.9833,19,1343,,,,
11650,0,"127,000",2018,2023,6,19,반포동,반포래미안아이파크,84.93,12,1341,,,,
11650,280,"50,000",2018,2023,6,30,잠원동,신반포자이,84.92,23,160,,,,
11650,0,"120,000",2001,2023,6,26,서초동,서초삼성래미안,121.66,3,1641-1,,,,
11650,0,"135,000",2018,2023,6,22,반포동,반포래미안아이파크,84.93,11,1341,,,,
11650,0,"85,000",2009,2023,6,5,서초동,래미안서초스위트,59.9958,25,1301-6,,,,
11650,120,"50,000",2005,2023,6,24,방배동,브라운스톤방배,84.98,2,899-16,,,,
11650,0,"58,000",1978,2023,6,23,잠원동,신반포2,107.31,6,73,,,,
11650,0,"155,000",2021,2023,6,6,반포동,디에이치반포라클라스,84.9844,15,1343,,,,
11650,0,"90,000",2006,2023,6,16,서초동,롯데캐슬클래식,84.98,10,1312-3,,,,
11650,0,"85,000",2000,2023,6,17,서초동,서초4현대,84.99,4,1684,,,,
11650,95,"35,000",2013,2023,6,12,신원동,서초포레스타7단지,59.81,2,615,,,,
11650,300,"60,000",2009,2023,6,17,반포동,반포자이,84.982,3,20-43,,,,
11650,0,"35,000",1989,2023,6,2,서초동,아남,71.1,7,1641-13,,,,
11650,0,"65,000",2013,2023,6,16,우면동,호반써밋서초파크뷰,84.95,16,789,,,,
11650,100,"60,000",2002,2023,6,15,잠원동,동아,84.91,19,157,,,,
11650,420,"50,000",2021,2023,6,9,반포동,디에이치반포라클라스,84.9858,26,1343,,,,
11650,122,"5,000",2019,2023,6,4,서초동,DK밸리뷰시티,25.13,11,1584-6,,,,
11650,0,"85,000",2009,2023,6,5,서초동,래미안서초스위트,59.9958,25,1301-6,,,,
11650,0,"65,000",2015,2023,6,7,신원동,서초포레스타6단지,59.93,4,619,,,,
11650,0,"75,000",1987,2023,6,9,반포동,한신서래,115,7,70-1,,,,
11650,0,"120,000",2021,2023,6,9,반포동,디에이치반포라클라스,59.9928,12,1343,,,,
11650,0,"70,000",1999,2023,6,9,방배동,방배1차현대홈타운,59.94,13,1344,,,,
11650,0,"77,000",1986,2023,6,7,반포동,삼호가든맨션(5차),98.64,10,30-1,,,,
11650,0,"158,000",2019,2023,6,4,잠원동,래미안신반포리오센트,108.37,6,161,,,,
11650,0,"97,000",2000,2023,6,25,반포동,반포푸르지오,84.82,1,10,갱신,23.06~25.06,"97,000",
11650,0,"73,500",2014,2023,6,5,내곡동,서초더샵포레,84.3,6,411,갱신,23.08~27.08,"70,000",
11650,100,"31,500",1988,2023,6,17,서초동,삼풍아파트,79.47,1,1685,갱신,23.06~25.06,"31,500",93
11650,0,"80,000",2003,2023,6,14,서초동,서초극동스타클래스,124.09,7,1616-10,신규,23.08~25.08,,
11650,0,"70,000",2014,2023,6,5,내곡동,서초더샵포레,84.3,6,411,신규,23.08~25.08,,
11650,5,"3,581",2021,2023,6,21,서초동,서초꽃마을주얼리,16.63,8,1502-12,갱신,23.07~25.06,"3,450",4
11650,0,"21,814",2013,2023,6,30,우면동,엘에이치서초3단지,59.88,7,784,갱신,23.07~25.06,"21,814",
11650,9,"2,751",2021,2023,6,27,서초동,서초꽃마을주얼리,16.63,5,1502-12,갱신,23.06~25.06,"2,620",8
11650,31,"11,835",2015,2023,6,14,신원동,서초포레스타6단지,39.65,7,619,갱신,23.06~25.06,"8,858",12
11650,0,"185,000",2018,2023,6,22,잠원동,신반포자이,98.45,24,160,갱신,23.06~25.06,"215,000",
11650,400,"170,000",2004,2023,6,30,방배동,부에나비스타,244.89,3,1-57,갱신,23.10~25.10,"150,000",400
11650,550,"60,000",2021,2023,6,2,서초동,서초그랑자이,119.41,23,1757,갱신,23.07~25.07,"60,000",550
11650,0,"120,000",2017,2023,6,9,서초동,서초푸르지오써밋,84.93,9,1311-10,신규,23.09~25.09,,
11650,250,"50,000",2016,2023,6,6,서초동,래미안서초에스티지,83.6,6,1332-13,신규,23.08~25.08,,
11650,0,"113,000",2021,2023,6,17,반포동,디에이치반포라클라스,59.9928,25,1343,갱신,23.07~25.07,"143,000",
11650,0,"13,067",2015,2023,6,20,신원동,서초포레스타6단지,49.34,6,619,신규,23.06~25.06,,
11650,41,"6,375",2015,2023,6,15,신원동,서초포레스타6단지,49.96,6,619,갱신,23.06~25.06,"6,375",41
11650,0,"1,593",2015,2023,6,21,신원동,서초포레스타6단지,39.99,2,619,갱신,23.06~25.06,"1,244",7
11650,90,"1,000",2014,2023,6,22,서초동,urbanplace,20.334,5,1337-3,신규,23.07~24.07,,
11650,43,"6,000",2021,2023,6,21,서초동,서초꽃마을주얼리,16.63,3,1502-12,신규,23.06~25.06,,
11650,43,"6,000",2021,2023,6,7,서초동,서초꽃마을주얼리,16.63,3,1502-12,신규,23.07~25.07,,
11650,100,"83,000",2014,2023,6,24,서초동,서초롯데캐슬프레지던트,84.97,13,1681-8,신규,23.08~25.08,,
11650,43,"6,000",2021,2023,6,21,서초동,서초꽃마을주얼리,16.63,3,1502-12,신규,23.07~25.07,,
11650,70,"10,100",2021,2023,6,7,서초동,서초꽃마을주얼리,30.89,11,1502-12,신규,23.06~25.06,,
11650,48,"6,700",2021,2023,6,21,서초동,서초꽃마을주얼리,16.63,11,1502-12,신규,23.08~25.08,,
11650,0,"360,000",2009,2023,6,15,반포동,래미안퍼스티지,222.76,7,18-1,갱신,23.07~25.07,"360,000",
11650,150,"50,000",2019,2023,6,1,잠원동,래미안신반포리오센트,59.95,23,161,신규,23.07~25.07,,
11650,60,"45,000",1991,2023,6,16,양재동,우성,84.58,4,154-2,갱신,23.09~25.09,"50,000",80
