gu_code,monthly_rent,deposit,build_year,year,month,day,dong,apt_name,area,floor,jibun,contract_type,contract_term,prev_deposit,prev_monthly_rent
11650,45,"6,000",2021,2025,5,12,서초동,서초꽃마을주얼리,16.63,3,1502-12,신규,25.06~27.06,,
11650,265,"3,000",2021,2025,5,16,서초동,에피소드강남262,26.1,18,1339-9,신규,25.05~26.05,,
11650,450,"10,000",2005,2025,5,29,서초동,강남태영데시앙루브,84.2,12,1303-35,신규,25.06~27.06,,
11650,79,"20,018",2018,2025,5,4,잠원동,신반포자이,59.93,7,160,신규,25.06~27.05,,
11650,0,"35,000",1989,2025,5,9,잠원동,한강,84.53,1,49-8,신규,25.05~27.05,,
11650,310,"5,000",2002,2025,5,7,잠원동,월드메르디앙,84.78,6,33-11,신규,25.07~27.07,,
11650,0,"61,000",1989,2025,5,10,반포동,반포미도2차아파트,71.49,9,60-5,신규,25.09~27.09,,
11650,95,"1,000",2002,2025,5,27,서초동,서초동삼성쉐르빌2,35.22,14,1330,신규,25.07~27.07,,
11650,0,"135,000",2001,2025,5,24,서초동,서초삼성래미안,121.66,11,1641-1,신규,25.09~27.09,,
11650,171,"50,000",2010,2025,5,18,반포동,반포리체,59.994,29,30-26,갱신,25.09~26.04,"50,000",100
11650,0,"153,000",2002,2025,5,27,잠원동,롯데캐슬갤럭시,151.11,1,50,신규,25.09~27.09,,
11650,300,"2,500",2001,2025,5,31,반포동,반포두산힐스빌,47.7,2,54-5,신규,25.08~27.08,,
11650,36,"25,043",2018,2025,5,30,방배동,방배아트자이,59.9775,9,3278,,25.10~27.09,,
11650,150,"250,000",2025,2025,5,19,잠원동,메이플자이,135.141,28,60-3,신규,25.08~27.08,,
11650,0,"73,000",2003,2025,5,31,방배동,삼성래미안1,59.9,4,2626,신규,25.09~27.09,,
11650,0,"80,000",1991,2025,5,24,반포동,현대동궁아파트,82.35,13,64-5,신규,25.09~27.11,,
11650,740,"20,000",2016,2025,5,12,서초동,래미안서초에스티지,139.99,10,1332-13,신규,25.07~27.07,,
11650,0,"95,000",2006,2025,5,12,방배동,방배브라운가,84.94,12,930-1,신규,25.08~27.08,,
11650,150,"60,000",2000,2025,5,28,반포동,반포푸르지오,84.82,2,10,신규,25.08~27.08,,
11650,0,"124,500",2018,2025,5,30,잠원동,신반포자이,59.93,10,160,신규,25.08~27.08,,
11650,400,"80,000",2009,2025,5,21,반포동,래미안퍼스티지,84.93,18,18-1,신규,25.08~27.08,,
11650,460,"20,000",2021,2025,5,29,서초동,서초그랑자이,59.98,2,1757,신규,25.08~27.08,,
11650,280,"10,000",1978,2025,5,8,잠원동,신반포2,135.97,6,73,신규,25.07~27.07,,
11650,0,"143,000",1988,2025,5,23,서초동,삼풍아파트,165.92,6,1685,갱신,25.07~27.07,"140,000",
11650,150,"90,000",2025,2025,5,21,잠원동,메이플자이,59.1662,29,60-3,신규,25.08~27.08,,
11650,240,"100,000",2025,2025,5,23,잠원동,메이플자이,84.2537,22,60-3,신규,25.08~27.08,,
11650,640,"90,000",2023,2025,5,9,반포동,래미안원베일리,101.97,14,1,갱신,25.09~27.08,"90,000",390
11650,640,"90,000",2023,2025,5,9,반포동,래미안원베일리,101.97,14,1,갱신,25.09~27.08,"90,000",390
11650,0,"160,000",2025,2025,5,19,잠원동,메이플자이,84.8456,29,60-3,신규,25.08~27.08,,
11650,0,"128,000",2025,2025,5,20,잠원동,메이플자이,59.1662,15,60-3,신규,25.08~27.08,,
11650,0,"60,000",1979,2025,5,15,잠원동,신반포4,96.48,2,70,신규,25.05~27.05,,
11650,190,"10,000",2013,2025,5,1,우면동,호반써밋서초파크,51.89,11,788,신규,25.08~27.08,,
11650,220,"70,000",2025,2025,5,21,잠원동,메이플자이,59.5368,8,60-3,신규,25.08~27.08,,
11650,0,"170,000",2025,2025,5,28,잠원동,메이플자이,84.8456,22,60-3,신규,25.08~27.08,,
11650,0,"170,000",2025,2025,5,28,잠원동,메이플자이,84.8456,22,60-3,신규,25.08~27.08,,
11650,0,"220,000",2018,2025,5,30,반포동,반포래미안아이파크,112.95,4,1341,신규,25.05~27.05,,
11650,280,"150,000",2025,2025,5,16,잠원동,메이플자이,124.4237,32,60-3,신규,25.08~28.02,,
11650,0,"90,000",2025,2025,5,26,잠원동,메이플자이,43.0502,10,60-3,신규,25.08~27.12,,
11650,400,"60,000",2025,2025,5,18,잠원동,메이플자이,84.2537,7,60-3,신규,25.08~27.08,,
11650,340,"70,000",2025,2025,5,24,잠원동,메이플자이,84.8456,18,60-3,신규,25.08~27.08,,
11650,500,"10,000",2021,2025,5,29,반포동,디에이치반포라클라스,59.9928,2,1343,신규,25.08~27.08,,
11650,260,"10,000",1987,2025,5,21,반포동,반포미도,84.96,3,60-4,신규,25.08~27.08,,
11650,320,"80,000",2004,2025,5,16,방배동,동부센트레빌,134.04,18,3275,신규,25.08~27.08,,
11650,0,"150,000",2010,2025,5,31,반포동,반포리체,84.967,23,30-26,갱신,25.08~27.08,"135,000",
11650,0,"125,000",2005,2025,5,3,서초동,서초2차e-편한세상,116.745,7,1529,신규,25.08~27.12,,
11650,"1,000","30,000",2009,2025,5,8,반포동,반포자이,194.515,4,20-43,신규,25.08~27.08,,
11650,0,"190,000",2016,2025,5,28,반포동,아크로리버파크,84.99,15,2-12,신규,25.08~27.08,,
11650,220,"130,000",2018,2025,5,20,반포동,반포래미안아이파크,99.92,13,1341,신규,25.08~27.08,,
11650,250,0,2018,2025,5,22,반포동,반포래미안아이파크,84.93,26,1341,신규,25.08~26.08,,
11650,0,"99,000",2006,2025,5,31,서초동,롯데캐슬클래식,74.3,11,1312-3,신규,25.08~27.08,,
11650,800,"30,000",2004,2025,5,30,서초동,아크로비스타,149.17,37,1685-3,신규,25.08~27.08,,
11650,0,"280,000",2025,2025,5,20,잠원동,메이플자이,135.141,17,60-3,신규,25.08~27.08,,
11650,0,"255,000",2025,2025,5,30,잠원동,메이플자이,124.4237,17,60-3,신규,25.08~27.08,,
11650,0,"87,000",2001,2025,5,7,방배동,금강프리빌,93.07,8,940-8,신규,25.08~27.08,,
11650,0,"125,000",1988,2025,5,30,서초동,삼풍아파트,130.23,13,1685,신규,25.08~27.08,,
11650,360,"37,000",2025,2025,5,30,잠원동,메이플자이,59.5368,14,60-3,신규,25.08~27.08,,
11650,0,"125,000",2011,2025,5,17,우면동,서초네이처힐4단지,114.93,15,720,신규,25.08~27.08,,
11650,80,"34,000",1978,2025,5,16,잠원동,신반포2,79.42,12,73,신규,25.08~27.08,,
