gu_code,price,trade_type,build_year,year,month,day,dong,apt_name,area,floor,jibun
11215,"229,000",중개거래,1985,2022,3,19,광장동,극동1,126.94,7,218-1
11215,"92,000",중개거래,1999,2022,3,31,화양동,화양현대,59.99,13,234
11215,"125,000",중개거래,1997,2022,3,27,구의동,현대프라임,59.82,20,631-1
11215,"105,000",중개거래,1996,2022,3,28,광장동,청구,59.95,6,566
11215,"124,800",중개거래,2001,2022,3,25,광장동,금호베스트빌,59.93,16,578
11215,"64,500",중개거래,2001,2022,3,21,자양동,자양동삼성,84.83,1,645-1
11215,"103,000",중개거래,1996,2022,3,16,광장동,청구,59.95,6,566
11215,"149,000",중개거래,1998,2022,3,14,자양동,자양우성7,84.93,6,783-1
11215,"229,000",중개거래,1985,2022,3,19,광장동,극동1,126.94,7,218-1
11215,"329,000",중개거래,1978,2022,3,16,광장동,워커힐,226.45,12,145-8
11215,"120,000",중개거래,2001,2022,3,12,구의동,삼성쉐르빌,84.94,14,199-18
11215,"201,000",중개거래,1997,2022,3,7,구의동,현대프라임,126.66,4,631-1
11215,"128,000",중개거래,1996,2022,3,11,광장동,광나루현대,84.92,18,567
11215,"159,500",중개거래,1996,2022,3,5,구의동,구의현대2단지,84.91,6,611
11215,"125,500",중개거래,1999,2022,3,19,광장동,광장현대9단지,59.97,20,576
11215,"300,000",중개거래,1978,2022,3,1,광장동,워커힐,226.45,4,145-8
11215,"157,500",중개거래,1996,2022,3,4,구의동,구의현대2단지,84.91,8,611
11215,"152,500",중개거래,1999,2022,3,23,자양동,로얄동아,84.83,5,644
11215,"62,500",중개거래,2011,2022,3,4,구의동,동우아파트,67.435,6,31-9
11215,"15,300",중개거래,2014,2022,3,24,화양동,광진코지웰,18.63,10,113-1
11215,"124,000",중개거래,1997,2022,3,9,구의동,현대프라임,59.82,15,631-1
11215,"133,000",중개거래,2008,2022,3,3,군자동,광진We’vePark,131.96,13,503
11215,"153,000",중개거래,1993,2022,3,19,자양동,한강우성,84.72,7,87-1
11215,"90,000",중개거래,2000,2022,3,7,구의동,새한,59.89,6,656
11215,"13,000",중개거래,2014,2022,3,12,화양동,광진코지웰,16.53,4,113-1
11215,"86,000",중개거래,2000,2022,3,3,구의동,새한,59.89,7,656
11215,"180,000",중개거래,1989,2022,3,7,광장동,극동2,84.55,7,218-1
11215,"53,000",직거래,1999,2022,3,2,중곡동,에스케이,58.43,8,292
